ExpBlock	Genotype	MetBatch	Age	SampleID	AgeNum	PredAge
Block1	Ral_385	Batch1	Day04	Sample1	4	10.4349360725554
Block1	Ral_385	Batch1	Day24	Sample2	24	24.2408199491416
Block1	Ral_440	Batch1	Day45	Sample3	45	48.6421673161525
Block2	Ral_320	Batch1	Day80	Sample4	80	64.386481886252
Block1	Ral_502	Batch1	Day45	Sample5	45	44.8712213292
Block2	Ral_320	Batch1	Day45	Sample6	45	42.4033006328569
Block2	Ral_320	Batch1	Day69	Sample7	69	69.9313745668542
Block1	Ral_440	Batch1	Day10	Sample8	10	13.0285649918432
Block1	Ral_440	Batch1	Day04	Sample9	4	15.1238082951046
Block1	Ral_502	Batch1	Day04	Sample10	4	-2.73021539640271
Block1	Ral_502	Batch1	Day24	Sample11	24	33.8329333376789
Block1	Ral_502	Batch1	Day10	Sample12	10	14.1915402864854
Block1	Ral_385	Batch1	Day10	Sample13	10	9.60975033957473
Block2	Ral_355	Batch1	Day04	Sample14	4	-0.730456751378355
Block2	Ral_320	Batch1	Day24	Sample15	24	27.0526607268128
Block2	Ral_320	Batch1	Day10	Sample16	10	5.77721702566338
Block1	Ral_502	Batch1	Day69	Sample17	69	57.302602041646
Block2	Ral_355	Batch1	Day45	Sample18	45	55.3379092926523
Block1	Ral_440	Batch1	Day24	Sample19	24	17.0362396486119
Block2	Ral_355	Batch1	Day10	Sample20	10	11.1487461788302
Block2	Ral_355	Batch1	Day24	Sample21	24	28.4465220578228
Block2	Ral_320	Batch1	Day04	Sample22	4	1.73406578071118
Block2	Ral_355	Batch2	Day10	Sample23	10	9.30055657206513
Block1	Ral_385	Batch2	Day24	Sample24	24	27.9378489860204
Block1	Ral_440	Batch2	Day10	Sample25	10	14.4031974481478
Block1	Ral_440	Batch2	Day45	Sample26	45	60.3206233175759
Block1	Ral_385	Batch2	Day04	Sample27	4	5.79003121600545
Block1	Ral_440	Batch2	Day24	Sample28	24	27.7720149417369
Block2	Ral_320	Batch2	Day80	Sample29	80	78.0634721745471
Block2	Ral_320	Batch2	Day45	Sample30	45	39.4102009571379
Block2	Ral_320	Batch2	Day24	Sample31	24	33.9737822215882
Block1	Ral_502	Batch2	Day04	Sample32	4	4.48485489699977
Block2	Ral_320	Batch2	Day04	Sample33	4	9.76472713435878
Block2	Ral_320	Batch2	Day69	Sample34	69	63.8022711697452
Block1	Ral_502	Batch2	Day10	Sample35	10	13.6832449880737
Block1	Ral_502	Batch2	Day69	Sample36	69	62.7798619922296
Block2	Ral_355	Batch2	Day45	Sample37	45	63.4677728656423
Block2	Ral_320	Batch2	Day10	Sample38	10	15.5442320859132
Block2	Ral_355	Batch2	Day24	Sample39	24	35.3845130832449
Block1	Ral_502	Batch2	Day45	Sample40	45	40.8645011754622
Block1	Ral_440	Batch2	Day04	Sample41	4	3.03603984615689
Block1	Ral_502	Batch2	Day24	Sample42	24	31.7243809394244
Block1	Ral_385	Batch2	Day45	Sample43	45	40.9809604058636
Block1	Ral_385	Batch2	Day10	Sample44	10	12.3603145729535
Block2	Ral_355	Batch2	Day04	Sample45	4	-1.7870967862265
Block2	Ral_136	Batch3	Day80	Sample46	80	57.2864138923905
Block1	Ral_441	Batch3	Day04	Sample47	4	4.50099337124512
Block1	Ral_703	Batch3	Day10	Sample48	10	6.7242182503119
Block2	Ral_136	Batch3	Day24	Sample49	24	29.1993745407719
Block2	Ral_136	Batch3	Day04	Sample50	4	0.670753427448446
Block1	Ral_703	Batch3	Day04	Sample51	4	3.10605206376288
Block2	Ral_228	Batch3	Day10	Sample52	10	0.997123178104978
Block1	Ral_385	Batch3	Day24	Sample53	24	25.5572870007492
Block1	Ral_441	Batch3	Day45	Sample54	45	38.5770198208291
Block1	Ral_441	Batch3	Day10	Sample55	10	15.2188816552041
Block2	Ral_136	Batch3	Day10	Sample56	10	6.66773889668878
Block1	Ral_441	Batch3	Day69	Sample57	69	43.071488123093
Block1	Ral_385	Batch3	Day10	Sample58	10	13.682435176217
Block2	Ral_136	Batch3	Day45	Sample59	45	34.6503730046241
Block1	Ral_703	Batch3	Day45	Sample60	45	54.8571045532967
Block1	Ral_385	Batch3	Day45	Sample61	45	51.0825343582657
Block1	Ral_441	Batch3	Day24	Sample62	24	22.8704249362754
Block2	Ral_136	Batch3	Day69	Sample63	69	65.238759035832
Block2	Ral_228	Batch3	Day04	Sample64	4	0.589535798571294
Block1	Ral_703	Batch3	Day24	Sample65	24	26.1614574833603
Block1	Ral_385	Batch3	Day04	Sample66	4	11.7230064184906
Block2	Ral_228	Batch3	Day69	Sample67	69	70.7836413330559
Block2	Ral_228	Batch3	Day24	Sample68	24	27.1639442415002
Block2	Ral_228	Batch3	Day45	Sample69	45	48.7634708033804
Block2	Ral_320	Batch4	Day45	Sample70	45	41.9545092759408
Block1	Ral_101	Batch4	Day45	Sample71	45	50.672459075672
Block2	Ral_320	Batch4	Day04	Sample72	4	3.60173129289847
Block2	Ral_320	Batch4	Day69	Sample73	69	67.8232384521691
Block1	Ral_101	Batch4	Day24	Sample74	24	37.231939228282
Block1	Ral_440	Batch4	Day04	Sample75	4	1.79014229010407
Block2	Ral_38	Batch4	Day45	Sample76	45	48.9553757100779
Block2	Ral_38	Batch4	Day10	Sample77	10	6.67844022946687
Block2	Ral_320	Batch4	Day10	Sample78	10	12.2918235249486
Block1	Ral_440	Batch4	Day24	Sample79	24	18.2583390951273
Block2	Ral_38	Batch4	Day04	Sample80	4	-0.454799256177697
Block1	Ral_101	Batch4	Day10	Sample81	10	9.76315034509415
Block1	Ral_101	Batch4	Day69	Sample82	69	68.9765275382563
Block1	Ral_101	Batch4	Day04	Sample83	4	2.47477935789664
Block1	Ral_426	Batch4	Day45	Sample84	45	54.9661815452414
Block2	Ral_38	Batch4	Day24	Sample85	24	24.8775291402234
Block1	Ral_426	Batch4	Day10	Sample86	10	20.8893195217297
Block1	Ral_440	Batch4	Day10	Sample87	10	11.5248226235663
Block1	Ral_426	Batch4	Day04	Sample88	4	2.6390486886229
Block2	Ral_320	Batch4	Day24	Sample89	24	27.3078629859803
Block1	Ral_440	Batch4	Day45	Sample90	45	46.2682356791252
Block2	Ral_320	Batch4	Day80	Sample91	80	64.9382957813615
Block1	Ral_426	Batch4	Day24	Sample92	24	21.6054712174874
Block2	Ral_38	Batch4	Day69	Sample93	69	64.7265496430352
Block2	Ral_405	Batch5	Day10	Sample94	10	12.3255539148367
Block2	Ral_355	Batch5	Day24	Sample95	24	22.634515781549
Block2	Ral_355	Batch5	Day10	Sample96	10	6.03412047143186
Block1	Ral_502	Batch5	Day45	Sample97	45	44.3381805352427
Block1	Ral_502	Batch5	Day24	Sample98	24	24.7633121040903
Block1	Ral_26	Batch5	Day45	Sample99	45	58.0329874516495
Block1	Ral_502	Batch5	Day69	Sample100	69	52.0654642020456
Block2	Ral_405	Batch5	Day45	Sample101	45	57.6170645724598
Block1	Ral_443	Batch5	Day69	Sample102	69	41.8154643096778
Block1	Ral_443	Batch5	Day45	Sample103	45	32.3511436819967
Block1	Ral_26	Batch5	Day10	Sample104	10	16.2432198622474
Block1	Ral_502	Batch5	Day10	Sample105	10	12.3800368092934
Block1	Ral_443	Batch5	Day24	Sample106	24	20.3326040400055
Block1	Ral_443	Batch5	Day10	Sample107	10	8.3379827787553
Block1	Ral_26	Batch5	Day24	Sample108	24	37.9221373364733
Block1	Ral_26	Batch5	Day04	Sample109	4	5.68331821208654
Block2	Ral_355	Batch5	Day45	Sample110	45	46.9344552112951
Block2	Ral_405	Batch5	Day24	Sample111	24	15.6813316152849
Block2	Ral_355	Batch5	Day04	Sample112	4	-1.27832877621305
Block2	Ral_405	Batch5	Day04	Sample113	4	-0.12135499883145
Block1	Ral_443	Batch5	Day04	Sample114	4	7.48427492483553
Block1	Ral_502	Batch5	Day04	Sample115	4	1.82313092137552
Block1	Ral_93	Batch6	Day04	Sample116	4	2.38304587710678
Block2	Ral_796	Batch6	Day24	Sample117	24	33.5883372005356
Block1	Ral_93	Batch6	Day10	Sample118	10	15.9611523840642
Block2	Ral_208	Batch6	Day04	Sample119	4	8.95385473591782
Block2	Ral_208	Batch6	Day45	Sample120	45	42.4071980406242
Block2	Ral_362	Batch6	Day04	Sample121	4	5.22587502193374
Block2	Ral_138	Batch6	Day45	Sample122	45	35.5412711849293
Block2	Ral_362	Batch6	Day69	Sample123	69	64.585767402926
Block1	Ral_93	Batch6	Day24	Sample124	24	34.9300406693212
Block2	Ral_208	Batch6	Day10	Sample125	10	11.596986157764
Block2	Ral_138	Batch6	Day10	Sample126	10	8.02621915285124
Block2	Ral_208	Batch6	Day24	Sample127	24	26.2678195066154
Block2	Ral_362	Batch6	Day45	Sample128	45	44.7736083692489
Block2	Ral_362	Batch6	Day24	Sample129	24	24.8838872259309
Block2	Ral_138	Batch6	Day04	Sample130	4	3.23345527976048
Block2	Ral_796	Batch6	Day04	Sample131	4	0.298694229516219
Block2	Ral_362	Batch6	Day80	Sample132	80	72.0814505614137
Block2	Ral_138	Batch6	Day24	Sample133	24	21.2135826203868
Block2	Ral_796	Batch6	Day10	Sample134	10	7.29459299396696
Block2	Ral_362	Batch6	Day10	Sample135	10	9.26009786203884
Block2	Ral_208	Batch7	Day04	Sample136	4	3.61385105448711
Block1	Ral_101	Batch7	Day69	Sample137	69	61.4058523433702
Block1	Ral_101	Batch7	Day45	Sample138	45	45.9461387951636
Block2	Ral_320	Batch7	Day24	Sample139	24	26.2321595431809
Block1	Ral_101	Batch7	Day24	Sample140	24	26.0193036435943
Block2	Ral_320	Batch7	Day69	Sample141	69	58.4207058282065
Block2	Ral_320	Batch7	Day10	Sample142	10	14.4747327556768
Block1	Ral_385	Batch7	Day04	Sample143	4	7.87287431003687
Block2	Ral_208	Batch7	Day24	Sample144	24	24.8882648695914
Block2	Ral_208	Batch7	Day45	Sample145	45	48.2692109428729
Block1	Ral_385	Batch7	Day24	Sample146	24	17.9172706956539
Block1	Ral_93	Batch7	Day24	Sample147	24	22.1227879065438
Block1	Ral_101	Batch7	Day04	Sample148	4	-1.84033280958494
Block1	Ral_93	Batch7	Day10	Sample149	10	8.2985366478336
Block2	Ral_320	Batch7	Day45	Sample150	45	39.2430622894282
Block1	Ral_385	Batch7	Day10	Sample151	10	9.50023684542631
Block2	Ral_208	Batch7	Day10	Sample152	10	8.52574551024514
Block2	Ral_320	Batch7	Day04	Sample153	4	1.15577791516148
Block1	Ral_101	Batch7	Day80	Sample154	80	65.453979847813
Block1	Ral_101	Batch7	Day10	Sample155	10	7.53751456812069
Block1	Ral_93	Batch7	Day04	Sample156	4	-1.64982167935824
Block2	Ral_320	Batch7	Day80	Sample157	80	64.787256034619
Block1	Ral_93	Batch7	Day45	Sample158	45	61.8711966905767
Block1	Ral_385	Batch7	Day45	Sample159	45	39.7746146856282
Block1	Ral_443	Batch8	Day04	Sample160	4	14.4230601234405
Block1	Ral_443	Batch8	Day24	Sample161	24	30.6241644997565
Block2	Ral_38	Batch8	Day04	Sample162	4	12.538576361837
Block1	Ral_443	Batch8	Day69	Sample163	69	57.7120842526662
Block2	Ral_355	Batch8	Day04	Sample164	4	11.7590573423589
Block2	Ral_355	Batch8	Day10	Sample165	10	22.8631228350881
Block1	Ral_443	Batch8	Day45	Sample166	45	44.2832887742552
Block1	Ral_440	Batch8	Day10	Sample167	10	5.8147846298602
Block1	Ral_443	Batch8	Day10	Sample168	10	14.6848624810703
Block1	Ral_502	Batch8	Day10	Sample169	10	15.6996783502521
Block2	Ral_38	Batch8	Day69	Sample170	69	67.5688043276301
Block2	Ral_355	Batch8	Day24	Sample171	24	31.649018783379
Block1	Ral_502	Batch8	Day04	Sample172	4	7.99673248482134
Block2	Ral_38	Batch8	Day10	Sample173	10	9.43358728800562
Block1	Ral_440	Batch8	Day45	Sample174	45	41.2049159005041
Block1	Ral_502	Batch8	Day69	Sample175	69	74.1195383618698
Block2	Ral_38	Batch8	Day45	Sample176	45	45.6243794942021
Block1	Ral_502	Batch8	Day24	Sample177	24	35.7718754269716
Block2	Ral_38	Batch8	Day24	Sample178	24	33.285407444245
Block1	Ral_440	Batch8	Day24	Sample179	24	18.0862981697103
Block1	Ral_502	Batch8	Day45	Sample180	45	45.2719666888834
Block2	Ral_355	Batch8	Day45	Sample182	45	39.0694141052771
