Genotype	NDeath	Mean	Se	Median	Block
Ral_101	106	71.9084459204824	1.00665282592686	75.9658333333333	Block1
Ral_136	115	76.4907592204471	0.350266609181611	83.8283333333333	Block2
Ral_138	108	46.2761111111111	0.588902980527063	47.64875	Block2
Ral_208	88	59.3438060404223	0.714631447435819	59.7133333333333	Block2
Ral_228	120	64.8203948003457	0.895626799718606	65.9479166666667	Block2
Ral_26	101	37.5966793529772	0.873969317585078	39.9545833333333	Block1
Ral_320	122	75.0499556985519	0.551288855230068	77.8504166666667	Block2
Ral_355	74	54.6480319652643	0.558696924986748	53.6608333333333	Block2
Ral_362	123	71.7650369002665	0.853269852993181	75.60125	Block2
Ral_38	93	67.7502647534215	0.94930237683757	69.9120833333333	Block1
Ral_385	109	46.2910980625071	0.486077871949375	45.9654166666667	Block1
Ral_405	122	54.9121047609344	0.73551396832546	55.9529166666667	Block2
Ral_426	76	53.9536990914539	0.713510158169963	53.9129166666667	Block1
Ral_440	57	52.9306143937652	1.38259760192383	53.9129166666667	Block1
Ral_441	91	71.3433140827752	0.76816106902602	73.9070833333333	Block1
Ral_443	103	68.7408241893013	0.775311907113664	69.9120833333333	Block1
Ral_502	77	67.6766419867367	1.13811741472084	69.9120833333333	Block1
Ral_703	96	44.768087191358	1.15094265752902	41.87125	Block1
Ral_796	117	41.5812811074478	0.322551555484603	41.8179166666667	Block2
Ral_93	125	39.7305562324301	0.687342834658562	41.87125	Block1
