ExpBlock	VialNum	VialCopyID	Genotype	GenotypeID	MetBatch	Age	SampleID
Block1	23	B	Ral_385	C	Batch1	Day04	Sample1
Block1	23	B	Ral_385	C	Batch1	Day24	Sample2
Block1	30	B	Ral_440	C	Batch1	Day45	Sample3
Block2	44	B	Ral_320	C	Batch1	Day80	Sample4
Block1	17	B	Ral_502	C	Batch1	Day45	Sample5
Block2	44	B	Ral_320	C	Batch1	Day45	Sample6
Block2	44	B	Ral_320	C	Batch1	Day69	Sample7
Block1	30	B	Ral_440	C	Batch1	Day10	Sample8
Block1	30	B	Ral_440	C	Batch1	Day04	Sample9
Block1	17	B	Ral_502	C	Batch1	Day04	Sample10
Block1	17	B	Ral_502	C	Batch1	Day24	Sample11
Block1	17	B	Ral_502	C	Batch1	Day10	Sample12
Block1	23	B	Ral_385	C	Batch1	Day10	Sample13
Block2	46	B	Ral_355	C	Batch1	Day04	Sample14
Block2	44	B	Ral_320	C	Batch1	Day24	Sample15
Block2	44	B	Ral_320	C	Batch1	Day10	Sample16
Block1	17	B	Ral_502	C	Batch1	Day69	Sample17
Block2	46	B	Ral_355	C	Batch1	Day45	Sample18
Block1	30	B	Ral_440	C	Batch1	Day24	Sample19
Block2	46	B	Ral_355	C	Batch1	Day10	Sample20
Block2	46	B	Ral_355	C	Batch1	Day24	Sample21
Block2	44	B	Ral_320	C	Batch1	Day04	Sample22
Block2	60	B	Ral_355	D	Batch2	Day10	Sample23
Block1	38	B	Ral_385	D	Batch2	Day24	Sample24
Block1	49	B	Ral_440	D	Batch2	Day10	Sample25
Block1	49	B	Ral_440	D	Batch2	Day45	Sample26
Block1	38	B	Ral_385	D	Batch2	Day04	Sample27
Block1	49	B	Ral_440	D	Batch2	Day24	Sample28
Block2	87	B	Ral_320	D	Batch2	Day80	Sample29
Block2	87	B	Ral_320	D	Batch2	Day45	Sample30
Block2	87	B	Ral_320	D	Batch2	Day24	Sample31
Block1	69	B	Ral_502	D	Batch2	Day04	Sample32
Block2	87	B	Ral_320	D	Batch2	Day04	Sample33
Block2	87	B	Ral_320	D	Batch2	Day69	Sample34
Block1	69	B	Ral_502	D	Batch2	Day10	Sample35
Block1	69	B	Ral_502	D	Batch2	Day69	Sample36
Block2	60	B	Ral_355	D	Batch2	Day45	Sample37
Block2	87	B	Ral_320	D	Batch2	Day10	Sample38
Block2	60	B	Ral_355	D	Batch2	Day24	Sample39
Block1	69	B	Ral_502	D	Batch2	Day45	Sample40
Block1	49	B	Ral_440	D	Batch2	Day04	Sample41
Block1	69	B	Ral_502	D	Batch2	Day24	Sample42
Block1	38	B	Ral_385	D	Batch2	Day45	Sample43
Block1	38	B	Ral_385	D	Batch2	Day10	Sample44
Block2	60	B	Ral_355	D	Batch2	Day04	Sample45
Block2	38	A	Ral_136	A	Batch3	Day80	Sample46
Block1	15	A	Ral_441	A	Batch3	Day04	Sample47
Block1	36	A	Ral_703	A	Batch3	Day10	Sample48
Block2	38	A	Ral_136	A	Batch3	Day24	Sample49
Block2	38	A	Ral_136	A	Batch3	Day04	Sample50
Block1	36	A	Ral_703	A	Batch3	Day04	Sample51
Block2	49	A	Ral_228	A	Batch3	Day10	Sample52
Block1	23	A	Ral_385	A	Batch3	Day24	Sample53
Block1	15	A	Ral_441	A	Batch3	Day45	Sample54
Block1	15	A	Ral_441	A	Batch3	Day10	Sample55
Block2	38	A	Ral_136	A	Batch3	Day10	Sample56
Block1	15	A	Ral_441	A	Batch3	Day69	Sample57
Block1	23	A	Ral_385	A	Batch3	Day10	Sample58
Block2	38	A	Ral_136	A	Batch3	Day45	Sample59
Block1	36	A	Ral_703	A	Batch3	Day45	Sample60
Block1	23	A	Ral_385	A	Batch3	Day45	Sample61
Block1	15	A	Ral_441	A	Batch3	Day24	Sample62
Block2	38	A	Ral_136	A	Batch3	Day69	Sample63
Block2	49	A	Ral_228	A	Batch3	Day04	Sample64
Block1	36	A	Ral_703	A	Batch3	Day24	Sample65
Block1	23	A	Ral_385	A	Batch3	Day04	Sample66
Block2	49	A	Ral_228	A	Batch3	Day69	Sample67
Block2	49	A	Ral_228	A	Batch3	Day24	Sample68
Block2	49	A	Ral_228	A	Batch3	Day45	Sample69
Block2	44	A	Ral_320	A	Batch4	Day45	Sample70
Block1	4	A	Ral_101	A	Batch4	Day45	Sample71
Block2	44	A	Ral_320	A	Batch4	Day04	Sample72
Block2	44	A	Ral_320	A	Batch4	Day69	Sample73
Block1	4	A	Ral_101	A	Batch4	Day24	Sample74
Block1	30	A	Ral_440	A	Batch4	Day04	Sample75
Block2	11	A	Ral_38	A	Batch4	Day45	Sample76
Block2	11	A	Ral_38	A	Batch4	Day10	Sample77
Block2	44	A	Ral_320	A	Batch4	Day10	Sample78
Block1	30	A	Ral_440	A	Batch4	Day24	Sample79
Block2	11	A	Ral_38	A	Batch4	Day04	Sample80
Block1	4	A	Ral_101	A	Batch4	Day10	Sample81
Block1	4	A	Ral_101	A	Batch4	Day69	Sample82
Block1	4	A	Ral_101	A	Batch4	Day04	Sample83
Block1	3	A	Ral_426	A	Batch4	Day45	Sample84
Block2	11	A	Ral_38	A	Batch4	Day24	Sample85
Block1	3	A	Ral_426	A	Batch4	Day10	Sample86
Block1	30	A	Ral_440	A	Batch4	Day10	Sample87
Block1	3	A	Ral_426	A	Batch4	Day04	Sample88
Block2	44	A	Ral_320	A	Batch4	Day24	Sample89
Block1	30	A	Ral_440	A	Batch4	Day45	Sample90
Block2	44	A	Ral_320	A	Batch4	Day80	Sample91
Block1	3	A	Ral_426	A	Batch4	Day24	Sample92
Block2	11	A	Ral_38	A	Batch4	Day69	Sample93
Block2	71	A	Ral_405	A	Batch5	Day10	Sample94
Block2	46	A	Ral_355	A	Batch5	Day24	Sample95
Block2	46	A	Ral_355	A	Batch5	Day10	Sample96
Block1	17	A	Ral_502	A	Batch5	Day45	Sample97
Block1	17	A	Ral_502	A	Batch5	Day24	Sample98
Block1	55	A	Ral_26	A	Batch5	Day45	Sample99
Block1	17	A	Ral_502	A	Batch5	Day69	Sample100
Block2	71	A	Ral_405	A	Batch5	Day45	Sample101
Block1	7	A	Ral_443	A	Batch5	Day69	Sample102
Block1	7	A	Ral_443	A	Batch5	Day45	Sample103
Block1	55	A	Ral_26	A	Batch5	Day10	Sample104
Block1	17	A	Ral_502	A	Batch5	Day10	Sample105
Block1	7	A	Ral_443	A	Batch5	Day24	Sample106
Block1	7	A	Ral_443	A	Batch5	Day10	Sample107
Block1	55	A	Ral_26	A	Batch5	Day24	Sample108
Block1	55	A	Ral_26	A	Batch5	Day04	Sample109
Block2	46	A	Ral_355	A	Batch5	Day45	Sample110
Block2	71	A	Ral_405	A	Batch5	Day24	Sample111
Block2	46	A	Ral_355	A	Batch5	Day04	Sample112
Block2	71	A	Ral_405	A	Batch5	Day04	Sample113
Block1	7	A	Ral_443	A	Batch5	Day04	Sample114
Block1	17	A	Ral_502	A	Batch5	Day04	Sample115
Block1	25	A	Ral_93	A	Batch6	Day04	Sample116
Block2	72	A	Ral_796	A	Batch6	Day24	Sample117
Block1	25	A	Ral_93	A	Batch6	Day10	Sample118
Block2	42	A	Ral_208	A	Batch6	Day04	Sample119
Block2	42	A	Ral_208	A	Batch6	Day45	Sample120
Block2	88	A	Ral_362	A	Batch6	Day04	Sample121
Block2	1	A	Ral_138	A	Batch6	Day45	Sample122
Block2	88	A	Ral_362	A	Batch6	Day69	Sample123
Block1	25	A	Ral_93	A	Batch6	Day24	Sample124
Block2	42	A	Ral_208	A	Batch6	Day10	Sample125
Block2	1	A	Ral_138	A	Batch6	Day10	Sample126
Block2	42	A	Ral_208	A	Batch6	Day24	Sample127
Block2	88	A	Ral_362	A	Batch6	Day45	Sample128
Block2	88	A	Ral_362	A	Batch6	Day24	Sample129
Block2	1	A	Ral_138	A	Batch6	Day04	Sample130
Block2	72	A	Ral_796	A	Batch6	Day04	Sample131
Block2	88	A	Ral_362	A	Batch6	Day80	Sample132
Block2	1	A	Ral_138	A	Batch6	Day24	Sample133
Block2	72	A	Ral_796	A	Batch6	Day10	Sample134
Block2	88	A	Ral_362	A	Batch6	Day10	Sample135
Block2	59	A	Ral_208	B	Batch7	Day04	Sample136
Block1	64	A	Ral_101	B	Batch7	Day69	Sample137
