Molecule,Molecule Formula,Replicate Name,Normalization Method,Average Measured Retention Time,Total Area Fragment,Normalized Area
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample1,Ratio to Global Standards,5.17,28716420,4.34E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample2,Ratio to Global Standards,5.17,14163868,2.05E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample3,Ratio to Global Standards,5.17,12362578,1.71E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample4,Ratio to Global Standards,5.17,8182467,1.02E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample5,Ratio to Global Standards,5.17,7329101,9.59E-02
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample6,Ratio to Global Standards,5.17,8997937,1.26E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample7,Ratio to Global Standards,5.17,7524701,9.87E-02
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample8,Ratio to Global Standards,5.17,22818290,3.30E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample9,Ratio to Global Standards,5.17,26905312,3.94E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample10,Ratio to Global Standards,5.17,25672708,3.61E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample11,Ratio to Global Standards,5.17,8493929,1.20E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample12,Ratio to Global Standards,5.17,14692148,2.17E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample13,Ratio to Global Standards,5.17,23712542,3.90E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample14,Ratio to Global Standards,5.17,23154142,3.24E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample15,Ratio to Global Standards,5.17,11112330,1.64E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample16,Ratio to Global Standards,5.17,17548790,2.57E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample17,Ratio to Global Standards,5.17,8053136,1.25E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample18,Ratio to Global Standards,5.17,3220518,4.74E-02
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample19,Ratio to Global Standards,5.17,15383583,2.36E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample20,Ratio to Global Standards,5.17,9158836,1.48E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample21,Ratio to Global Standards,5.17,2469281,4.11E-02
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample22,Ratio to Global Standards,5.17,20472204,3.27E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample23,Ratio to Global Standards,5.17,9228484,1.54E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample24,Ratio to Global Standards,5.17,10906316,1.94E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample25,Ratio to Global Standards,5.17,18768408,3.23E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample26,Ratio to Global Standards,5.17,9725285,1.56E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample27,Ratio to Global Standards,5.17,27846268,4.45E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample28,Ratio to Global Standards,5.17,13805140,2.26E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample29,Ratio to Global Standards,5.17,7092631,1.09E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample30,Ratio to Global Standards,5.17,8231002,1.38E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample31,Ratio to Global Standards,5.17,9815270,1.60E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample32,Ratio to Global Standards,5.17,22593644,3.90E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample33,Ratio to Global Standards,5.17,19805346,3.17E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample34,Ratio to Global Standards,5.17,9443490,1.51E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample35,Ratio to Global Standards,5.17,13959318,2.27E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample36,Ratio to Global Standards,5.17,5890168,9.12E-02
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample37,Ratio to Global Standards,5.17,4570081,8.13E-02
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample38,Ratio to Global Standards,5.17,16929656,2.54E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample39,Ratio to Global Standards,5.17,3476440,6.06E-02
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample40,Ratio to Global Standards,5.17,6320294,1.10E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample41,Ratio to Global Standards,5.17,25092684,4.27E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample42,Ratio to Global Standards,5.17,7212527,1.19E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample43,Ratio to Global Standards,5.17,3658764,6.40E-02
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample44,Ratio to Global Standards,5.17,20861086,3.61E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample45,Ratio to Global Standards,5.17,20220384,3.35E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample46,Ratio to Global Standards,5.17,4804193,8.16E-02
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample47,Ratio to Global Standards,5.17,22371918,3.65E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample48,Ratio to Global Standards,5.17,16132719,2.66E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample49,Ratio to Global Standards,5.17,6815260,1.12E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample50,Ratio to Global Standards,5.17,14365869,2.15E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample51,Ratio to Global Standards,5.17,23045714,3.88E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample52,Ratio to Global Standards,5.17,24285108,4.17E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample53,Ratio to Global Standards,5.17,14932320,2.64E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample54,Ratio to Global Standards,5.17,5950466,9.81E-02
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample55,Ratio to Global Standards,5.17,15845070,2.70E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample56,Ratio to Global Standards,5.17,14221870,2.58E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample57,Ratio to Global Standards,5.17,5455349,9.15E-02
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample58,Ratio to Global Standards,5.17,19392902,3.37E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample59,Ratio to Global Standards,5.17,5939704,1.01E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample60,Ratio to Global Standards,5.17,8094331,1.44E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample61,Ratio to Global Standards,5.17,4047251,6.87E-02
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample62,Ratio to Global Standards,5.17,8069455,1.35E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample63,Ratio to Global Standards,5.17,6689159,1.18E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample64,Ratio to Global Standards,5.17,25588114,4.38E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample65,Ratio to Global Standards,5.17,9416635,1.66E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample66,Ratio to Global Standards,5.17,27760138,5.17E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample67,Ratio to Global Standards,5.17,9354056,1.66E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample68,Ratio to Global Standards,5.17,9733913,1.89E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample69,Ratio to Global Standards,5.17,9502837,1.76E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample70,Ratio to Global Standards,5.17,7185889,1.34E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample71,Ratio to Global Standards,5.17,7902740,1.31E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample72,Ratio to Global Standards,5.17,24833620,4.03E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample73,Ratio to Global Standards,5.17,7844069,1.32E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample74,Ratio to Global Standards,5.17,8924745,1.54E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample75,Ratio to Global Standards,5.17,26598852,5.25E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample76,Ratio to Global Standards,5.17,4716247,8.03E-02
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample77,Ratio to Global Standards,5.17,16327621,2.85E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample78,Ratio to Global Standards,5.17,17844908,3.43E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample79,Ratio to Global Standards,5.17,16406460,2.86E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample80,Ratio to Global Standards,5.17,23349700,4.24E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample81,Ratio to Global Standards,5.17,14785043,2.68E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample82,Ratio to Global Standards,5.17,7164899,1.22E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample83,Ratio to Global Standards,5.17,21925710,3.89E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample84,Ratio to Global Standards,5.17,11264740,1.88E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample85,Ratio to Global Standards,5.17,8098658,1.45E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample86,Ratio to Global Standards,5.17,18142480,3.15E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample87,Ratio to Global Standards,5.17,22139250,3.96E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample88,Ratio to Global Standards,5.17,28210830,5.21E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample89,Ratio to Global Standards,5.17,10485407,1.91E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample90,Ratio to Global Standards,5.17,9536022,1.69E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample91,Ratio to Global Standards,5.17,7386095,1.30E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample92,Ratio to Global Standards,5.17,10056213,1.76E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample93,Ratio to Global Standards,5.17,4181375,7.72E-02
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample94,Ratio to Global Standards,5.17,24033926,4.09E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample95,Ratio to Global Standards,5.17,2928898,5.44E-02
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample96,Ratio to Global Standards,5.17,8601249,1.63E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample97,Ratio to Global Standards,5.17,4241721,8.12E-02
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample98,Ratio to Global Standards,5.17,5550216,1.06E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample99,Ratio to Global Standards,5.17,3306144,5.99E-02
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample100,Ratio to Global Standards,5.17,6098861,1.09E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample101,Ratio to Global Standards,5.17,12357291,2.18E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample102,Ratio to Global Standards,5.17,6633115,1.20E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample103,Ratio to Global Standards,5.17,6650230,1.18E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample104,Ratio to Global Standards,5.17,7571333,1.32E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample105,Ratio to Global Standards,5.17,12850674,2.37E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample106,Ratio to Global Standards,5.17,12138651,2.02E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample107,Ratio to Global Standards,5.17,22473676,3.67E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample108,Ratio to Global Standards,5.17,4990358,7.81E-02
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample109,Ratio to Global Standards,5.17,22444420,3.62E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample110,Ratio to Global Standards,5.17,3682111,5.53E-02
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample111,Ratio to Global Standards,5.17,16892884,2.65E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample112,Ratio to Global Standards,5.17,22322880,3.37E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample113,Ratio to Global Standards,5.17,28937010,4.39E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample114,Ratio to Global Standards,5.17,28437376,5.07E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample115,Ratio to Global Standards,5.17,21755964,3.74E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample116,Ratio to Global Standards,5.17,26486694,3.99E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample117,Ratio to Global Standards,5.17,5319928,8.76E-02
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample118,Ratio to Global Standards,5.17,18858184,3.07E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample119,Ratio to Global Standards,5.17,23246108,3.91E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample120,Ratio to Global Standards,5.17,7140118,1.12E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample121,Ratio to Global Standards,5.17,26069028,4.43E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample122,Ratio to Global Standards,5.17,6394861,1.01E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample123,Ratio to Global Standards,5.17,4783025,7.61E-02
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample124,Ratio to Global Standards,5.17,9300110,1.44E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample125,Ratio to Global Standards,5.17,19065574,3.13E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample126,Ratio to Global Standards,5.17,16516611,2.93E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample127,Ratio to Global Standards,5.17,7589597,1.31E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample128,Ratio to Global Standards,5.17,5345889,8.72E-02
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample129,Ratio to Global Standards,5.17,9515479,1.59E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample130,Ratio to Global Standards,5.17,23763374,3.78E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample131,Ratio to Global Standards,5.17,24854222,3.84E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample132,Ratio to Global Standards,5.17,5793555,7.96E-02
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample133,Ratio to Global Standards,5.17,11302782,1.88E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample134,Ratio to Global Standards,5.17,16990906,2.91E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample135,Ratio to Global Standards,5.17,19184086,3.16E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample136,Ratio to Global Standards,5.17,20435346,3.44E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample137,Ratio to Global Standards,5.17,7101938,1.22E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample138,Ratio to Global Standards,5.17,7679079,1.29E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample139,Ratio to Global Standards,5.17,11998248,1.97E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample140,Ratio to Global Standards,5.17,12422979,1.90E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample141,Ratio to Global Standards,5.17,7002996,1.13E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample142,Ratio to Global Standards,5.17,16200388,2.70E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample143,Ratio to Global Standards,5.17,26498444,4.77E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample144,Ratio to Global Standards,5.17,9306616,1.58E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample145,Ratio to Global Standards,5.17,7274472,1.30E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample146,Ratio to Global Standards,5.17,13605883,2.21E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample147,Ratio to Global Standards,5.17,9433398,1.55E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample148,Ratio to Global Standards,5.17,22709636,3.84E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample149,Ratio to Global Standards,5.17,16837686,2.63E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample150,Ratio to Global Standards,5.17,7612787,1.27E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample151,Ratio to Global Standards,5.17,21346760,4.00E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample152,Ratio to Global Standards,5.17,18714026,3.24E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample153,Ratio to Global Standards,5.17,20010056,3.59E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample154,Ratio to Global Standards,5.17,6897001,1.13E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample155,Ratio to Global Standards,5.17,16319510,2.76E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample156,Ratio to Global Standards,5.17,23376148,4.02E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample157,Ratio to Global Standards,5.17,6955762,1.13E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample158,Ratio to Global Standards,5.17,8156588,1.36E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample159,Ratio to Global Standards,5.17,4357738,7.71E-02
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample160,Ratio to Global Standards,5.17,32565104,6.34E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample161,Ratio to Global Standards,5.17,10087688,1.93E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample162,Ratio to Global Standards,5.17,27412950,4.90E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample163,Ratio to Global Standards,5.17,8223727,1.49E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample164,Ratio to Global Standards,5.17,20895716,3.58E-01
