Genotype	Week	AdjFlyHeight	AdjMaxHeight	Chamber	Block	Age
Ral_101	1	44.4737	44.4737	3	Block1	Week1
Ral_101	1	44.4737	44.4737	3	Block1	Week1
Ral_101	1	44.4737	44.4737	3	Block1	Week1
Ral_101	1	44.4737	44.4737	3	Block1	Week1
Ral_101	1	44.4737	44.4737	3	Block1	Week1
Ral_101	1	44.4737	44.4737	3	Block1	Week1
Ral_101	1	44.4737	44.4737	3	Block1	Week1
Ral_101	1	44.4737	44.4737	3	Block1	Week1
Ral_101	1	44.4737	44.4737	3	Block1	Week1
Ral_101	1	42.0789	44.4737	3	Block1	Week1
Ral_101	1	28.7368	44.4737	3	Block1	Week1
Ral_101	1	42.0789	44.4737	3	Block1	Week1
Ral_101	1	39	44.4737	3	Block1	Week1
Ral_101	1	5.8158	44.4737	3	Block1	Week1
Ral_101	1	0.34211	44.4737	3	Block1	Week1
Ral_101	1	0.34211	44.4737	3	Block1	Week1
Ral_101	1	0	44.4737	3	Block1	Week1
Ral_101	1	0	44.4737	3	Block1	Week1
Ral_101	1	0	44.4737	3	Block1	Week1
Ral_101	1	0	44.4737	3	Block1	Week1
Ral_101	1	44.4737	44.4737	65	Block1	Week1
Ral_101	1	41.1667	44.4737	65	Block1	Week1
Ral_101	1	26.7222	44.4737	65	Block1	Week1
Ral_101	1	19.5	44.4737	65	Block1	Week1
Ral_101	1	30.6944	44.4737	65	Block1	Week1
Ral_101	1	25.2778	44.4737	65	Block1	Week1
Ral_101	1	22.0278	44.4737	65	Block1	Week1
Ral_101	1	19.5	44.4737	65	Block1	Week1
Ral_101	1	20.2222	44.4737	65	Block1	Week1
Ral_101	1	16.9722	44.4737	65	Block1	Week1
Ral_101	1	15.5278	44.4737	65	Block1	Week1
Ral_101	1	9.0278	44.4737	65	Block1	Week1
Ral_101	1	4.6944	44.4737	65	Block1	Week1
Ral_101	1	3.6111	44.4737	65	Block1	Week1
Ral_101	1	0	44.4737	65	Block1	Week1
Ral_101	1	1.4444	44.4737	65	Block1	Week1
Ral_101	1	0	44.4737	65	Block1	Week1
Ral_101	1	0	44.4737	65	Block1	Week1
Ral_101	1	0	44.4737	65	Block1	Week1
Ral_101	1	0	44.4737	65	Block1	Week1
Ral_101	1	0	44.4737	65	Block1	Week1
Ral_101	1	44.4737	44.4737	130	Block1	Week1
Ral_101	1	44.4737	44.4737	130	Block1	Week1
Ral_101	1	44.4737	44.4737	130	Block1	Week1
Ral_101	1	41.6	44.4737	130	Block1	Week1
Ral_101	1	36.7467	44.4737	130	Block1	Week1
Ral_101	1	32.5867	44.4737	130	Block1	Week1
Ral_101	1	26	44.4737	130	Block1	Week1
Ral_101	1	22.88	44.4737	130	Block1	Week1
Ral_101	1	3.8133	44.4737	130	Block1	Week1
Ral_101	1	0	44.4737	130	Block1	Week1
Ral_101	1	0	44.4737	130	Block1	Week1
Ral_101	1	0	44.4737	130	Block1	Week1
Ral_101	1	0	44.4737	130	Block1	Week1
Ral_101	1	0	44.4737	130	Block1	Week1
Ral_101	1	0	44.4737	130	Block1	Week1
Ral_101	1	0	44.4737	130	Block1	Week1
Ral_101	1	0	44.4737	130	Block1	Week1
Ral_101	1	0	44.4737	130	Block1	Week1
Ral_101	1	0	44.4737	130	Block1	Week1
Ral_101	1	0	44.4737	130	Block1	Week1
Ral_101	2	36.0533	44.4737	195	Block1	Week2
Ral_101	2	18.72	44.4737	195	Block1	Week2
Ral_101	2	18.72	44.4737	195	Block1	Week2
Ral_101	2	0	44.4737	195	Block1	Week2
