Genotype	Block	MeanLS	MedianLS	LogMAlpha	MBeta	Makeham	LogMiu45	LogMiu60
Ral_101	Block1	74.05549765	75.96583333	-19.49655355	0.22927	0.00071	-7.11460476	-5.540737547
Ral_136	Block2	82.72102951	83.82833333	-14.91512335	0.15098	2.06E-09	-8.121016416	-5.856322627
Ral_138	Block2	46.27611111	47.64875	-16.5581522	0.31899	0.00058	-2.198362557	2.581291689
Ral_208	Block2	59.34380604	59.71333333	-17.07781594	0.25099	0.00082	-5.547126401	-2.012263265
Ral_228	Block2	64.93871518	65.94791667	-10.81977828	0.12792	2.06E-09	-5.063377959	-3.144578237
Ral_26	Block1	37.37932527	39.95458333	-7.824046011	0.14319	2.06E-09	-1.380496003	0.76735399
Ral_320	Block2	77.71043394	77.85041667	-16.09829302	0.17675	0.00013	-7.774505441	-5.46218463
Ral_355	Block2	54.64803197	53.66083333	-13.06882261	0.19991	2.06E-09	-4.07287249	-1.074222604
Ral_362	Block2	74.70647048	75.60125	-11.51292546	0.11469	0.00018	-6.253622226	-4.613213456
Ral_38	Block1	67.8844849	69.91208333	-16.10814532	0.20151	5.00E-04	-6.588606914	-3.990141973
Ral_385	Block1	46.29109806	45.96541667	-13.79570793	0.25622	0.00022	-2.263689616	1.577537497
Ral_405	Block2	54.91210476	55.95291667	-12.00722179	0.17505	4.00E-04	-4.105405555	-1.502423145
Ral_426	Block1	53.95369909	53.91291667	-11.69805095	0.17493	2.06E-09	-3.826200855	-1.202250942
Ral_440	Block1	52.93061439	53.91291667	-8.947976108	0.1205	3.00E-05	-3.524457528	-1.717808924
Ral_441	Block1	72.36496741	73.90708333	-15.91924479	0.18801	2.00E-04	-7.160906625	-4.618174913
Ral_443	Block1	68.87346697	69.91208333	-18.07709104	0.23065	0.00029	-7.203730478	-4.218200289
Ral_502	Block1	68.68043622	69.91208333	-13.29078203	0.15277	0.00097	-5.950334877	-4.066325671
Ral_703	Block1	42.26437731	41.87125	-10.1266311	0.18992	2.06E-09	-1.580231094	1.268568897
Ral_796	Block2	41.58128111	41.81791667	-18.76599193	0.4151	0.00024	-0.086230281	6.140008588
Ral_93	Block1	39.48955465	41.87125	-19.01851774	0.41931	0.0039	-0.145048775	6.140090659
