Genotype	NDeath	Mean	Se	Median
Ral_101	106	74.0554976507648	1.11096792639627	75.9658333333333
Ral_136	115	82.7210295067489	0.71365555069225	83.8283333333333
Ral_138	108	46.2761111111111	0.588902980527063	47.64875
Ral_208	88	59.3438060404223	0.714631447435819	59.7133333333333
Ral_228	120	64.9387151795155	0.911771617016579	65.9479166666667
Ral_26	101	37.3793252680718	0.804107077309362	39.9545833333333
Ral_320	122	77.7104339394998	0.724117569625721	77.8504166666667
Ral_355	74	54.6480319652643	0.558696924986748	53.6608333333333
Ral_362	123	74.7064704804139	1.0794068911764	75.60125
Ral_38	93	67.8844848952091	0.964703494615753	69.9120833333333
Ral_385	109	46.2910980625071	0.486077871949375	45.9654166666667
Ral_405	122	54.9121047609344	0.73551396832546	55.9529166666667
Ral_426	76	53.9536990914539	0.713510158169963	53.9129166666667
Ral_440	57	52.9306143937652	1.38259760192383	53.9129166666667
Ral_441	91	72.364967407059	0.865022464576248	73.9070833333333
Ral_443	103	68.8734669720675	0.791251584358476	69.9120833333333
Ral_502	77	68.6804362217065	1.24931238867945	69.9120833333333
Ral_703	96	42.2643773148148	0.572551922853889	41.87125
Ral_796	117	41.5812811074478	0.322551555484603	41.8179166666667
Ral_93	125	39.4895546510038	0.624679684693002	41.87125
