Genotype	Block	RepOutput_Day08	RepOutput_Day12
Ral_101	Block1	1.0757788109118	0.909991552089616
Ral_136	Block2	0.891026353319861	0.759168929063457
Ral_138	Block2	0.679062723119533	0.50676256603929
Ral_208	Block2	1.28755490843029	1.73616008040467
Ral_228	Block2	1.20343382031406	1.04981325865477
Ral_26	Block1	0.775241059314612	0.167943666794225
Ral_320	Block2	1.10189112952133	1.19174312483645
Ral_355	Block2	0.755261033151402	0.563511787392321
Ral_362	Block2	0.782392202774706	0.688158941404683
Ral_38	Block1	0.499738667888067	0.69640960710534
Ral_385	Block1	1.61777408422258	1.22941599154473
Ral_405	Block2	0.622138025379716	0.395234048488835
Ral_426	Block1	0.369352882761646	0.454874766188368
Ral_440	Block1	1.30888487534236	1.32974768331325
Ral_441	Block1	0.982065150365432	0.934008832682264
Ral_443	Block1	1.23390340804472	0.592267450338372
Ral_502	Block1	1.35212204272142	1.1300251493475
Ral_703	Block1	1.45989859959178	1.03038592680412
Ral_796	Block2	1.56549735758004	1.32696392218551
Ral_93	Block1	1.41625089750781	1.25081239716143
