Chamber	Genotype	Time	Fecundity	Interval	N	Block
1	Ral_93	Day04	84	2	25	Block1
2	Ral_385	Day04	206	2	25	Block1
4	Ral_26	Day04	136	2	22	Block1
6	Ral_443	Day04	153	2	25	Block1
9	Ral_93	Day04	64	2	25	Block1
10	Ral_703	Day04	201	2	23	Block1
12	Ral_26	Day04	164	2	26	Block1
16	Ral_441	Day04	25	2	25	Block1
21	Ral_443	Day04	150	2	25	Block1
23	Ral_26	Day04	127	2	22	Block1
25	Ral_38	Day04	43	2	23	Block1
34	Ral_426	Day04	11	2	22	Block1
39	Ral_502	Day04	59	2	25	Block1
49	Ral_93	Day04	97	2	27	Block1
50	Ral_443	Day04	154	2	24	Block1
55	Ral_502	Day04	107	2	25	Block1
60	Ral_93	Day04	72	2	30	Block1
69	Ral_385	Day04	256	2	23	Block1
72	Ral_426	Day04	55	2	25	Block1
74	Ral_703	Day04	96	2	17	Block1
79	Ral_441	Day04	41	2	22	Block1
84	Ral_426	Day04	55	2	23	Block1
91	Ral_38	Day04	49	2	24	Block1
93	Ral_426	Day04	27	2	25	Block1
97	Ral_93	Day04	129	2	27	Block1
101	Ral_440	Day04	130	2	21	Block1
104	Ral_385	Day04	219	2	25	Block1
111	Ral_426	Day04	17	2	24	Block1
120	Ral_38	Day04	27	2	24	Block1
126	Ral_441	Day04	16	2	21	Block1
132	Ral_703	Day04	146	2	23	Block1
136	Ral_385	Day04	217	2	25	Block1
142	Ral_38	Day04	24	2	24	Block1
148	Ral_101	Day04	115	2	25	Block1
151	Ral_38	Day04	77	2	26	Block1
177	Ral_440	Day04	114	2	11	Block1
186	Ral_703	Day04	131	2	25	Block1
187	Ral_440	Day04	97	2	17	Block1
192	Ral_441	Day04	41	2	26	Block1
194	Ral_502	Day04	99	2	23	Block1
196	Ral_441	Day04	36	2	23	Block1
204	Ral_440	Day04	96	2	17	Block1
213	Ral_502	Day04	97	2	18	Block1
221	Ral_703	Day04	139	2	25	Block1
222	Ral_26	Day04	119	2	22	Block1
224	Ral_101	Day04	106	2	23	Block1
225	Ral_26	Day04	146	2	20	Block1
230	Ral_101	Day04	114	2	25	Block1
232	Ral_101	Day04	158	2	24	Block1
234	Ral_385	Day04	197	2	21	Block1
252	Ral_440	Day04	117	2	21	Block1
257	Ral_101	Day04	137	2	25	Block1
259	Ral_443	Day04	155	2	25	Block1
260	Ral_443	Day04	146	2	22	Block1
275	Ral_502	Day04	99	2	23	Block1
1	Ral_93	Day08	73	2.155833333	24	Block1
2	Ral_385	Day08	175	2.155833333	25	Block1
4	Ral_26	Day08	24	2.155833333	22	Block1
6	Ral_443	Day08	66	2.155833333	25	Block1
9	Ral_93	Day08	99	2.155833333	25	Block1
10	Ral_703	Day08	109	2.155833333	22	Block1
12	Ral_26	Day08	32	2.155833333	26	Block1
16	Ral_441	Day08	61	2.155833333	25	Block1
21	Ral_443	Day08	100	2.155833333	25	Block1
23	Ral_26	Day08	26	2.155833333	19	Block1
25	Ral_38	Day08	20	2.155833333	23	Block1
34	Ral_426	Day08	4	2.155833333	22	Block1
39	Ral_502	Day08	81	2.155833333	25	Block1
49	Ral_93	Day08	174	2.155833333	27	Block1
50	Ral_443	Day08	53	2.155833333	24	Block1
55	Ral_502	Day08	85	2.155833333	25	Block1
60	Ral_93	Day08	107	2.155833333	30	Block1
69	Ral_385	Day08	153	2.155833333	23	Block1
72	Ral_426	Day08	4	2.155833333	25	Block1
74	Ral_703	Day08	118	2.155833333	17	Block1
79	Ral_441	Day08	48	2.155833333	22	Block1
84	Ral_426	Day08	21	2.155833333	23	Block1
91	Ral_38	Day08	13	2.155833333	23	Block1
93	Ral_426	Day08	13	2.155833333	25	Block1
97	Ral_93	Day08	125	2.155833333	25	Block1
101	Ral_440	Day08	78	2.155833333	21	Block1
104	Ral_385	Day08	93	2.155833333	25	Block1
111	Ral_426	Day08	1	2.155833333	23	Block1
120	Ral_38	Day08	4	2.155833333	24	Block1
126	Ral_441	Day08	29	2.155833333	21	Block1
132	Ral_703	Day08	65	2.155833333	23	Block1
136	Ral_385	Day08	152	2.155833333	25	Block1
142	Ral_38	Day08	24	2.155833333	23	Block1
148	Ral_101	Day08	15	2.155833333	24	Block1
151	Ral_38	Day08	8	2.155833333	26	Block1
177	Ral_440	Day08	33	2.155833333	11	Block1
186	Ral_703	Day08	108	2.155833333	25	Block1
187	Ral_440	Day08	38	2.155833333	17	Block1
192	Ral_441	Day08	39	2.155833333	25	Block1
194	Ral_502	Day08	85	2.155833333	23	Block1
196	Ral_441	Day08	61	2.155833333	20	Block1
204	Ral_440	Day08	93	2.155833333	17	Block1
213	Ral_502	Day08	105	2.155833333	18	Block1
221	Ral_703	Day08	110	2.155833333	25	Block1
222	Ral_26	Day08	20	2.155833333	22	Block1
224	Ral_101	Day08	81	2.155833333	23	Block1
225	Ral_26	Day08	40	2.155833333	20	Block1
230	Ral_101	Day08	67	2.155833333	24	Block1
232	Ral_101	Day08	91	2.155833333	24	Block1
234	Ral_385	Day08	107	2.155833333	21	Block1
252	Ral_440	Day08	94	2.155833333	21	Block1
257	Ral_101	Day08	65	2.155833333	25	Block1
259	Ral_443	Day08	75	2.155833333	25	Block1
260	Ral_443	Day08	108	2.155833333	22	Block1
275	Ral_502	Day08	87	2.155833333	23	Block1
1	Ral_93	Day12	75	2.085	23	Block1
2	Ral_385	Day12	44	2.085	25	Block1
4	Ral_26	Day12	4	2.085	20	Block1
6	Ral_443	Day12	14	2.085	24	Block1
9	Ral_93	Day12	50	2.085	24	Block1
10	Ral_703	Day12	53	2.085	22	Block1
12	Ral_26	Day12	2	2.085	26	Block1
16	Ral_441	Day12	59	2.085	25	Block1
21	Ral_443	Day12	19	2.085	23	Block1
23	Ral_26	Day12	0	2.085	18	Block1
25	Ral_38	Day12	26	2.085	20	Block1
34	Ral_426	Day12	4	2.085	21	Block1
39	Ral_502	Day12	47	2.085	24	Block1
49	Ral_93	Day12	131	2.085	26	Block1
50	Ral_443	Day12	16	2.085	23	Block1
55	Ral_502	Day12	60	2.085	22	Block1
60	Ral_93	Day12	102	2.085	29	Block1
69	Ral_385	Day12	105	2.085	23	Block1
72	Ral_426	Day12	12	2.085	23	Block1
74	Ral_703	Day12	92	2.085	16	Block1
79	Ral_441	Day12	41	2.085	22	Block1
84	Ral_426	Day12	12	2.085	23	Block1
91	Ral_38	Day12	24	2.085	23	Block1
93	Ral_426	Day12	16	2.085	25	Block1
97	Ral_93	Day12	69	2.085	25	Block1
101	Ral_440	Day12	81	2.085	21	Block1
104	Ral_385	Day12	84	2.085	25	Block1
111	Ral_426	Day12	8	2.085	22	Block1
120	Ral_38	Day12	24	2.085	22	Block1
126	Ral_441	Day12	32	2.085	20	Block1
132	Ral_703	Day12	46	2.085	23	Block1
136	Ral_385	Day12	59	2.085	24	Block1
142	Ral_38	Day12	19	2.085	23	Block1
148	Ral_101	Day12	39	2.085	24	Block1
151	Ral_38	Day12	20	2.085	24	Block1
177	Ral_440	Day12	72	2.085	11	Block1
186	Ral_703	Day12	18	2.085	23	Block1
187	Ral_440	Day12	45	2.085	17	Block1
192	Ral_441	Day12	29	2.085	25	Block1
194	Ral_502	Day12	32	2.085	22	Block1
196	Ral_441	Day12	45	2.085	20	Block1
204	Ral_440	Day12	77	2.085	17	Block1
213	Ral_502	Day12	84	2.085	17	Block1
221	Ral_703	Day12	34	2.085	24	Block1
222	Ral_26	Day12	5	2.085	21	Block1
224	Ral_101	Day12	38	2.085	23	Block1
225	Ral_26	Day12	0	2.085	19	Block1
230	Ral_101	Day12	39	2.085	24	Block1
232	Ral_101	Day12	53	2.085	24	Block1
234	Ral_385	Day12	85	2.085	21	Block1
